15.0772,18.2615,66.3253,54.7601
16.6885,17.2705,59.9214,57.9021
16.6819,17.0651,59.945,58.5991
16.6804,17.0912,59.9507,58.5097
16.6826,17.0338,59.9426,58.7068
16.6991,23.8567,59.8836,41.9169
16.6746,17.0331,59.9716,58.7094
16.6906,17.3518,59.9139,57.631
16.6885,17.1025,59.9214,58.4709
16.673,17.721,59.9771,56.4302
16.6903,17.251,59.915,57.9676
16.6885,17.2311,59.9215,58.0345
16.6891,17.1295,59.9194,58.3788
16.6816,17.1191,59.9464,58.4143
16.6849,17.1553,59.9343,58.291
16.6848,17.1171,59.9348,58.4211
16.6951,17.2077,59.8979,58.1134
16.6801,17.0781,59.9516,58.5545
16.6816,16.9779,59.9464,58.9
16.6925,17.2696,59.9073,57.9051
16.6814,17.0745,59.9471,58.5668
16.6862,17.0327,59.9299,58.7105
16.6774,17.4327,59.9614,57.3634
16.6956,16.9748,59.8961,58.911
16.6827,16.9549,59.9423,58.9801
16.681,17.0839,59.9486,58.5348
16.6904,17.176,59.9146,58.2208
16.6798,17.3733,59.9528,57.5596
16.6904,17.1243,59.9145,58.3965
16.6881,16.994,59.923,58.8444
16.6763,17.04,59.9654,58.6855
