14.3123,31.1521,69.8699,32.1006
16.6836,21.4772,59.9391,46.561
16.6694,18.38,59.9901,54.4071
16.6985,17.485,59.8856,57.1918
16.6823,17.3417,59.9439,57.6646
16.6984,17.0598,59.8861,58.6174
16.6743,17.2821,59.9726,57.8634
16.6907,17.0839,59.9136,58.5345
16.6824,18.252,59.9434,54.7885
16.6898,17.3063,59.917,57.7826
16.6793,17.378,59.9544,57.544
16.6895,17.9171,59.9178,55.8125
16.6927,17.417,59.9066,57.415
16.6774,17.2729,59.9614,57.8942
16.722,21.7705,59.8014,45.9337
16.6505,16.9011,60.0581,59.1679
16.6893,17.8362,59.9186,56.0657
16.6845,17.2656,59.936,57.9187
16.6867,17.9839,59.928,55.6053
16.6895,17.8668,59.918,55.9696
16.6856,17.2194,59.9319,58.0742
16.6837,17.6237,59.9388,56.7417
16.6843,17.1377,59.9364,58.3508
